station_origin,station_destination,flows,population,jobs,distance
Theobalds Grove,Hackney Downs,11,523,835,17276.86988192415
Theobalds Grove,Hampstead Heath,2,523,2792,23925.41394100575
Theobalds Grove,Kentish Town West,0,523,1128,21895.693912746472
Theobalds Grove,Leyton Midland Road,0,523,445,18728.504286867086
Theobalds Grove,Liverpool Street,81,523,61122,22422.46316983681
Theobalds Grove,London Fields,14,523,790,18202.882593712282
Theobalds Grove,Rectory Road,5,523,219,16075.847504429314
Theobalds Grove,Seven Sisters,213,523,10191,12956.038302151934
Theobalds Grove,Silver Street,46,523,953,9210.423007148444
Theobalds Grove,Southbury,21,523,538,5041.418877098826
Theobalds Grove,Stamford Hill,0,523,352,14081.12170681784
Theobalds Grove,Stoke Newington,23,523,479,15292.591790090437
Theobalds Grove,Stratford,0,523,55954,24811.59436227693
Theobalds Grove,Turkey Street,13,523,458,2339.842151062409
Theobalds Grove,White Hart Lane,10,523,641,10410.344366442003
Theydon Bois,Aldgate,0,677,7782,25338.617555962886
Theydon Bois,Aldgate East,2,677,7932,23902.196774427935
Theydon Bois,Angel,2,677,8103,27531.147951117713
Theydon Bois,Baker Street,1,677,14973,30496.469668491554
Theydon Bois,Bank and Monument,55,677,78549,25564.38870723059
Theydon Bois,Barbican,5,677,9134,25864.26183827848
Theydon Bois,Barking,0,677,7004,25671.389158735128
Theydon Bois,Bermondsey,2,677,3172,26767.31252928993
Theydon Bois,Bethnal Green,3,677,4660,22821.84794734627
Theydon Bois,Blackfriars,1,677,10849,26802.144425598843
Theydon Bois,Bond Street,16,677,20967,30300.252985904815
Theydon Bois,Borough,0,677,3254,26965.710945638126
Theydon Bois,Brixton,0,677,5084,32412.339251107052
Theydon Bois,Buckhurst Hill,1,677,228,7209.702651073865
Theydon Bois,Camden Town,2,677,6348,30247.17980915513
Theydon Bois,Canada Water,0,677,20443,25777.79560872964
Theydon Bois,Canary Wharf,33,677,58772,23507.09907254352
Theydon Bois,Canning Town,5,677,15428,21393.01501376444
Theydon Bois,Chancery Lane,27,677,15391,27509.064745043353
Theydon Bois,Charing Cross,2,677,7016,28689.110048022132
Theydon Bois,Clapham Common,1,677,2020,32420.661079958827
Theydon Bois,Covent Garden,1,677,4355,28707.489028742926
Theydon Bois,Dagenham Heathway,0,677,1108,30394.0423214994
Theydon Bois,Debden,45,677,865,3322.111158031306
Theydon Bois,Ealing Broadway,0,677,4846,43176.77870907969
Theydon Bois,Earl's Court,2,677,6613,34296.19419179342
Theydon Bois,East Acton,1,677,1505,38567.86245117412
Theydon Bois,East Ham,0,677,2062,23249.094231702034
Theydon Bois,Edgware Road,1,677,6868,31531.310035956085
Theydon Bois,Elephant & Castle,1,677,6427,27786.851097840878
Theydon Bois,Embankment,1,677,10220,28348.77922756336
Theydon Bois,Epping,18,677,498,2625.4836875124006
Theydon Bois,Euston,2,677,16800,28873.580998982146
Theydon Bois,Euston Square,3,677,8093,29049.69000492592
Theydon Bois,Farringdon,7,677,25592,26325.171782020094
Theydon Bois,Gants Hill,0,677,601,18534.818136184083
Theydon Bois,Goodge Street,1,677,6457,29516.082484977043
Theydon Bois,Grange Hill,0,677,76,14471.314226383838
Theydon Bois,Great Portland Street,2,677,6936,29669.650223185417
Theydon Bois,Green Park,4,677,26754,30038.544574575797
Theydon Bois,Hainault,0,677,356,15578.962836357987
Theydon Bois,Hammersmith,2,677,18250,36694.824343076165
Theydon Bois,Hanger Lane,1,677,1493,42202.67511618385
Theydon Bois,High Street Kensington,2,677,5427,34391.191764167976
Theydon Bois,Highbury & Islington,0,677,25385,25428.358315573896
Theydon Bois,Holborn,17,677,22346,28074.548457420096
Theydon Bois,Holland Park,3,677,2063,34398.49742074484
Theydon Bois,King's Cross St. Pancras,6,677,33330,28010.211325230568
Theydon Bois,Knightsbridge,2,677,6821,31402.387463142586
Theydon Bois,Lancaster Gate,3,677,1820,32202.29140543354
Theydon Bois,Leicester Square,2,677,8847,29073.0203278252
Theydon Bois,Leyton,1,677,1447,15893.081827075732
Theydon Bois,Leytonstone,6,677,1844,14229.238266784248
Theydon Bois,Liverpool Street,86,677,61122,24722.886023481034
Theydon Bois,London Bridge,12,677,29930,26451.11707837618
Theydon Bois,Loughton,26,677,655,5374.228247946376
Theydon Bois,Marble Arch,1,677,6145,30983.689220673095
Theydon Bois,Mile End,3,677,3759,20829.426144856807
Theydon Bois,Moorgate,0,677,24574,25156.973472083366
Theydon Bois,Newbury Park,1,677,559,18756.930660169546
Theydon Bois,North Greenwich,2,677,6276,23192.957791856676
Theydon Bois,Notting Hill Gate,4,677,5490,33698.76395777524
Theydon Bois,Old Street,3,677,15897,26010.493190828354
Theydon Bois,Oxford Circus,24,677,44368,29745.912420614182
Theydon Bois,Paddington,1,677,20198,32319.941312801853
Theydon Bois,Piccadilly Circus,2,677,13641,29260.9184877706
Theydon Bois,Pimlico,1,677,5585,31695.636264577603
Theydon Bois,Putney Bridge,1,677,2494,37503.145940709925
Theydon Bois,Queensway,0,677,1882,33060.44102689521
Theydon Bois,Russell Square,1,677,5172,28780.982772634994
Theydon Bois,Shepherd's Bush,5,677,9890,35310.17684202999
Theydon Bois,Sloane Square,2,677,8229,31461.517126902923
Theydon Bois,Snaresbrook,6,677,512,12571.0876492773
Theydon Bois,South Kensington,4,677,15325,32634.739498504357
Theydon Bois,South Woodford,6,677,766,11255.26691320928
Theydon Bois,Southwark,4,677,10326,27549.466163478683
Theydon Bois,St. James's Park,4,677,13339,29518.452517355156
Theydon Bois,St. John's Wood,0,677,3982,32635.39976142001
Theydon Bois,St. Paul's,37,677,13446,26413.913548111388
Theydon Bois,Stepney Green,0,677,1879,21858.698522127554
Theydon Bois,Stratford,74,677,55954,18024.424753000032
Theydon Bois,Temple,1,677,6780,27554.185225002097
Theydon Bois,Tooting Broadway,0,677,4506,36895.74077746597
Theydon Bois,Tottenham Court Road,15,677,19126,28871.610114980533
Theydon Bois,Tower Hill,3,677,8286,24741.430758839782
Theydon Bois,Upton Park,1,677,1642,21948.848405121556
Theydon Bois,Vauxhall,4,677,16242,32332.457419314647
Theydon Bois,Victoria,14,677,33251,30295.758113674205
Theydon Bois,Warren Street,1,677,17309,29419.78220086633
Theydon Bois,Waterloo,15,677,23466,28107.343151087538
Theydon Bois,West Brompton,2,677,5859,34863.58338355663
Theydon Bois,West Ham,0,677,5487,19697.934268131088
Theydon Bois,Westminster,4,677,15466,28957.703177448428
Theydon Bois,White City,2,677,5966,36610.67793528959
Theydon Bois,Whitechapel,7,677,17633,22938.862705622072
Theydon Bois,Woodford,6,677,706,9543.311997196248
Tooting Bec,Acton Town,4,6734,2202,19503.00490853824
Tooting Bec,Aldgate,19,6734,7782,11693.307868267619
Tooting Bec,Aldgate East,41,6734,7932,11935.355055556362
Tooting Bec,Alperton,0,6734,741,24476.09285206908
Tooting Bec,Angel,72,6734,8103,13407.39456835411
Tooting Bec,Archway,7,6734,2193,17053.02324437774
Tooting Bec,Arnos Grove,1,6734,748,24419.537877764695
Tooting Bec,Baker Street,50,6734,14973,12720.996700755368
Tooting Bec,Balham,309,6734,3814,975.1654216105981
Tooting Bec,Bank and Monument,697,6734,78549,10256.39062788997
Tooting Bec,Barbican,19,6734,9134,11740.508455514875
Tooting Bec,Barking,6,6734,7004,23827.528193664166
Tooting Bec,Barons Court,6,6734,2956,14232.473882516957
Tooting Bec,Becontree,0,6734,456,27121.98057936135
Tooting Bec,Belsize Park,11,6734,2255,16048.798568059785
Tooting Bec,Bermondsey,5,6734,3172,11457.488795166675
Tooting Bec,Bethnal Green,11,6734,4660,13506.18531354564
Tooting Bec,Blackfriars,87,6734,10849,11270.621498715664
Tooting Bec,Blackhorse Road,4,6734,2955,23039.11610849
Tooting Bec,Bond Street,27,6734,20967,11085.751860998349
Tooting Bec,Borough,104,6734,3254,8855.068389482436
Tooting Bec,Boston Manor,1,6734,892,23014.74155849204
Tooting Bec,Bounds Green,0,6734,778,23065.295387388487
Tooting Bec,Bow Road,0,6734,1193,15633.057851023485
Tooting Bec,Brent Cross,2,6734,450,21127.616682653268
