,coef,std err,z,P>|z|,[0.025,0.975]
station_destination[Tower Hill],   -1.2179,    0.011, -108.144, 0.000,   -1.240,   -1.196
station_destination[Tufnell Park],   -0.1826,    0.042,   -4.315, 0.000,   -0.266,   -0.100
station_destination[Turkey Street],    1.8626,    0.047,   39.894, 0.000,    1.771,    1.954
station_destination[Turnham Green],   -0.5061,    0.026,  -19.712, 0.000,   -0.556,   -0.456
station_destination[Turnpike Lane],   -0.2208,    0.032,   -6.960, 0.000,   -0.283,   -0.159
station_destination[Upminster],    0.4572,    0.030,   15.384, 0.000,    0.399,    0.515
station_destination[Upminster Bridge],    1.0562,    0.042,   25.188, 0.000,    0.974,    1.138
station_destination[Upney],    0.4114,    0.045,    9.064, 0.000,    0.322,    0.500
station_destination[Upper Holloway],    0.9510,    0.033,   28.528, 0.000,    0.886,    1.016
station_destination[Upton Park],   -0.3441,    0.025,  -13.949, 0.000,   -0.392,   -0.296
station_destination[Uxbridge],   -0.1314,    0.015,   -8.598, 0.000,   -0.161,   -0.101
station_destination[Vauxhall],   -1.2343,    0.008, -147.132, 0.000,   -1.251,   -1.218
station_destination[Victoria],   -1.6064,    0.007, -238.286, 0.000,   -1.620,   -1.593
station_destination[Walthamstow Central],   -0.6137,    0.014,  -44.246, 0.000,   -0.641,   -0.586
station_destination[Walthamstow Queens Road],    1.4728,    0.028,   52.468, 0.000,    1.418,    1.528
station_destination[Wandsworth Road],    1.5664,    0.045,   34.996, 0.000,    1.479,    1.654
station_destination[Wanstead],    0.3620,    0.049,    7.414, 0.000,    0.266,    0.458
station_destination[Wanstead Park],    1.6026,    0.049,   32.715, 0.000,    1.507,    1.699
station_destination[Wapping],    0.6994,    0.031,   22.859, 0.000,    0.639,    0.759
station_destination[Warren Street],   -1.5099,    0.008, -181.809, 0.000,   -1.526,   -1.494
station_destination[Warwick Avenue],   -0.4728,    0.029,  -16.213, 0.000,   -0.530,   -0.416
station_destination[Waterloo],   -1.5782,    0.007, -210.428, 0.000,   -1.593,   -1.563
station_destination[Watford],    0.7396,    0.032,   22.926, 0.000,    0.676,    0.803
station_destination[Watford High Street],    1.5565,    0.036,   43.789, 0.000,    1.487,    1.626
station_destination[Watford Junction],    1.4977,    0.027,   55.406, 0.000,    1.445,    1.551
station_destination[Wembley Central],   -0.2258,    0.027,   -8.229, 0.000,   -0.280,   -0.172
station_destination[Wembley Park],   -0.6042,    0.013,  -45.478, 0.000,   -0.630,   -0.578
station_destination[West Acton],    0.3696,    0.045,    8.170, 0.000,    0.281,    0.458
station_destination[West Brompton],   -1.1763,    0.013,  -89.009, 0.000,   -1.202,   -1.150
station_destination[West Croydon],    1.5357,    0.022,   69.491, 0.000,    1.492,    1.579
station_destination[West Finchley],    0.9348,    0.105,    8.921, 0.000,    0.729,    1.140
station_destination[West Ham],   -1.0786,    0.014,  -79.098, 0.000,   -1.105,   -1.052
station_destination[West Hampstead],   -1.0630,    0.013,  -80.421, 0.000,   -1.089,   -1.037
station_destination[West Harrow],    0.7808,    0.090,    8.628, 0.000,    0.603,    0.958
station_destination[West India Quay],    0.4763,    0.050,    9.538, 0.000,    0.378,    0.574
station_destination[West Kensington],   -0.5956,    0.027,  -21.861, 0.000,   -0.649,   -0.542
station_destination[West Ruislip],    1.2466,    0.072,   17.368, 0.000,    1.106,    1.387
station_destination[West Silvertown],    0.7493,    0.033,   22.419, 0.000,    0.684,    0.815
station_destination[Westbourne Park],   -0.5144,    0.027,  -18.894, 0.000,   -0.568,   -0.461
station_destination[Westferry],    0.2610,    0.028,    9.232, 0.000,    0.206,    0.316
station_destination[Westminster],   -1.4699,    0.009, -169.656, 0.000,   -1.487,   -1.453
station_destination[White City],   -0.7252,    0.013,  -55.441, 0.000,   -0.751,   -0.700
station_destination[White Hart Lane],    1.0289,    0.039,   26.078, 0.000,    0.952,    1.106
station_destination[Whitechapel],   -1.4787,    0.008, -181.149, 0.000,   -1.495,   -1.463
station_destination[Willesden Green],   -0.2249,    0.035,   -6.484, 0.000,   -0.293,   -0.157
station_destination[Willesden Junction],   -0.8214,    0.016,  -52.768, 0.000,   -0.852,   -0.791
station_destination[Wimbledon],   -0.5001,    0.013,  -39.324, 0.000,   -0.525,   -0.475
station_destination[Wimbledon Park],    0.2608,    0.041,    6.372, 0.000,    0.181,    0.341
station_destination[Wood Green],   -0.4112,    0.022,  -19.045, 0.000,   -0.454,   -0.369
station_destination[Wood Lane],   -0.3840,    0.025,  -15.263, 0.000,   -0.433,   -0.335
station_destination[Wood Street],    1.4961,    0.050,   30.099, 0.000,    1.399,    1.594
station_destination[Woodford],    0.1536,    0.038,    4.082, 0.000,    0.080,    0.227
station_destination[Woodgrange Park],    1.8273,    0.064,   28.445, 0.000,    1.701,    1.953
station_destination[Woodside Park],    0.2832,    0.037,    7.735, 0.000,    0.211,    0.355
station_destination[Woolwich Arsenal],    0.8624,    0.015,   57.062, 0.000,    0.833,    0.892
jobs_log,    1.2391,    0.001, 1166.462, 0.000,    1.237,    1.241
distance_log,   -0.7212,    0.001, -830.208, 0.000,   -0.723,   -0.719
